Review,Class
অনেক কিছু শিখার আছে এই বই থেকে।,1
এই বইয়ের অনুবাদ টি অন্যান্য বই থেকে ভাল আমার কাছে মনে হয়েছে।,1
খুব ভাল লাগলো,1
বইটা খুবই ভালো.... যারা এখনো না কিনছে তাদের অবশ্যই কিনা উচিত। ধন্যবাদ আয়মান ভাইকে এই রকম একটা বই আমাদের দেওয়ার জন্য।,1
বস একটা বই,1
অনেক জোস,1
নিজের অবস্থান বুঝতে পারার জন্য একবার হলেও পড়া দরকার এই বইটি। ধন্যবাদ আয়মান সাাদিক এবং অন্তিক মাহমুদ। স্পেশালি রকমারিকে ধন্যবাদ বইটি পৌছে দেয়ার জন্য।,1
বেশ ভাল,1
বইটি পুরাই জুস,1
কিছু বই থাকে যগুলা পড়লেই নেশা কাজ করে। এই বইটাওও তেমনি হবে যতটুকু পড়ে বুঝলাম। নেশার মত কাজ করে ভাল লাগা কাজ করে হাতে পাওয়ার অপেক্ষায়।,1
অস্থির ভাই। অসাধারণ একটা ব‌ই। ,1
খুব ভাললাগসে।,1
খুবই ভালো হয়েছে বইটা। ,1
পারফেক্ট একটা বই,1
পড়ে আনন্দ পেয়েছি।,1
"বাংলাভাষায় মোটিভেশনের উপর এর চেয়ে ভালো বই নেই। সবচেয়ে বড় কথা আপনি যতবারই পড়বেন, ততবারই ভালো লাগবে। সর্দি সারানোর টনিক যেমন মধু আর লেবুর রস, হতাশা দূর করার হারবাল চিকিৎসা হোল এই বইটি।",1
"ভালো বই, নিজের আত্মিক উন্নতি সাধন সম্ভব।",1
এই বই পড়ে আমার জীবন পাল্টে গেছে। আমার জীবনের পড়া বইগুলোর মধ্যে সবচাইতে সেরা বই এটি। বইয়ের লেখককে অনেক অনেক ধন্যবাদ এমন সুন্দর একটি বই রচনা করার জন্য। আমি তো এক কথায় বইয়ের লেখকের ফ্যান হয়ে গিয়েছি। 3,1
ভালো একটা বই। নিজের মন কে কনট্রোল করার জন্য ভালো একটা বই।,1
বইটি খুবই ভালো।,1
হোয়াট আ বুক বস! এতদিন অপেক্ষায় ছিলাম।আমাদের চৌমুহনীতে অনেক ভক্ত আছে আপনার বস! তারা সবাই মিলে আমরা বই মেলায় আসবো। শুক্রবারে সাথে সেলফি তুলবো বস। ভালোবাসা। বইটা এবারে বেস্টসেলার হবে,1
বইটি আজ হাতে পেলাম! সত্যি অনেক অসাধারণ ছিলো অনেক কঠিন জিনিস কে সুন্দর ভাবে তুলে ধরার জন্যে!,1
অসাধারণ বইটা,1
"অনেক অনেক ধন্যবাদ এরকম একটা বইয়ের জন্য, আশা করি প্যারাময় লাইফের প্যারাগুলো কিছুটা হলেও কমে যাবে এই বইটা পড়ার পরে।",1
অনেক অনেক ভালো লাগলো বইটি পড়ে। ধন্যবাদ,1
ভালো বই।,1
 প্যারাসিটামল। জাস্ট লাভ ইট,1
বইটি খুব সুন্দর করে উপস্থাপন করা হয়েছে। প্রত্যক স্টুডেন্টসদের এই বইটা পড়া উচিত। খুব কাজে দিবে লাইফে এই বইটা।,1
অসাধারণ সব আইডিয়া/প্ল্যানিং দিয়ে লাইফের প্যারা নিরাময়ের একটি অসাধারণ বই,1
স্টুডেন্টদের লাইফের প্রোগ্রেসের জন্য অসম্ভব সুন্দর এবং হেল্পফুল একটা বই!!,1
"বইটি মূলত বর্তমান তরুণ সমাজের জন্য অবশ্য পড়ণীয় একটি বই। আমার মনে হয় যারা হতাশ, বিষণ্ণ কিংবা জীবন নিতে সন্দিহান তাদের এই বইটা একবার হলেও পড়া উচিত।",1
এই মাত্র বইটটা পড়ে শেষ করলাম। যাস্ট ওয়াও ওয়াও এন্ড ওয়াও। খুব ভালো লাগল। রেটিং ৫ দেয়া বেষ্ট। খুব জোস বই! রকমারিকে ধন্যবাদ বইটা পৌছে দেয়ার জন্য,1
অসাধারণ । খুবই উপকারি একটি বই। ধন্যবাদ ঝংকার মাহবুব ভাই।,1
দারুণ লেগেছে,1
আমার প্রিয় স্যারের লেখা। অসাধারন। জীবনে দ্রুত উন্নতি চাইলে এর বিকল্প বইও একটি আমি দেখি নাই সাড়া বইেমলায়,1
অনেক তথ্যবহুল বই ।,1
দারুণ একটি বই। ,1
অসাধারণ একটা বই। অনেক কিছু নতুন করে ভাবতে শেখায় এমন একটা বই। সময়কে কিভাবে সঠিক কাজে ব্যয় করে জীবনের প্রতিটি ক্ষেত্রে সাফল্য পাওয়া সম্ভব তা শেখায় এই বই।,1
এই বইয়ের তুলানা নেই।,1
গত কয়েক মাস যাবৎ বেশিই মানসিক চাপে ছিলাম।বইটা পড়ে অনেক চাপ কমেগেছে।লেখক কে অনেক ধন্যবাদ। এধরনের বই আরো চাই।লেখকের জন্য শুভকামনা।,1
একজন মানুষ গুড়ে দাঁড়াতে পারবে এই বই টি পরে । মোটিভেশনাল বই অনেক ভালো লাগছে পড়ে । তবে সব বয়সের মানুষ এর এই বই টি পড়া দরকার । বিশেষ করে ছাত্র দের পড়াটা জরুরি,1
অসাধারণ একটি বই। চাকুরী প্রত্যাশী হতাশাগ্রস্ত সব মানুষের এ বইটি পড়া উচিত। কাউকে উপহার দেবার মত বই।,1
বইটাতো ভালো। পড়ে যতটুকু পড়েছি। বই মেলায়ও পাঠকেরা প্রকাশনির সামনে মস্তিষ্কের ক্যানভাসের জন্য ভীড় জমায়।গতকাল ত সুখনন সাব ছিল। কম হলেও ৩-৪ শ অটোগ্রাফ দিতে হইছে। প্রথমম দিনে এতভীড় খুব কম হয়। বেষ্ট সেলারে থাকবে বইটা মনে হচ্ছে। শিক্ষনীয়ও বটে বইটা।,1
অসাধারণ অভিজ্ঞতার ভিতর দিয়ে পাঠক নিজেকে নতুন ভাবে আবিষ্কার করবেন। বারবার পড়ার মত বই।অনুরোধ করব সেই পাঠকদের যারা আত্মউন্নয়ন মুলক বই পড়ে ক্লান্ত।,1
